"month_n","state_n","district_n","sub_district","mdrtly_stntd","svrly_stntd","svr_wstg","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","svr_wasting_percent","wasting_percent","stunting_percent","svrly_stunted_percent","underweight_percent","svrly_underweight_percent","low_birth_weight_percent"
"Dec","Maharashtra","Latur","Ahmadpur",1757,1522,178,250,274,1080,43,2.26,5.43,41.56,19.29,12.69,2.57,27.74
"Dec","Maharashtra","Latur","Ausa",2162,1224,181,341,307,1071,45,1.49,4.29,27.80,10.05,8.83,1.97,19.31
"Dec","Maharashtra","Latur","Chakur",1928,1005,160,307,193,961,10,1.51,4.42,27.71,9.49,9.75,1.63,7.63
"Dec","Maharashtra","Latur","Deoni",663,519,81,159,86,350,10,2.08,6.15,30.24,13.28,9.23,1.82,10.42
"Dec","Maharashtra","Latur","Jalkot",756,523,117,148,139,451,16,3.43,7.77,37.33,15.27,14.76,3.48,23.19
"Dec","Maharashtra","Latur","Latur",1653,1098,256,386,304,1066,23,2.70,6.78,29.02,11.58,12.27,2.72,14.47
"Dec","Maharashtra","Latur","Murud",934,414,56,140,102,480,12,0.94,3.28,22.57,6.93,6.87,1.20,11.01
"Dec","Maharashtra","Latur","Nilanga",1844,1099,168,307,313,1052,41,1.73,4.89,30.22,11.29,10.21,2.34,17.30
"Dec","Maharashtra","Latur","Renapur",1140,772,84,179,166,660,20,1.50,4.69,34.08,13.76,11.58,2.33,16.81
"Dec","Maharashtra","Latur","Sirur Anantpal",649,340,39,92,89,308,6,1.21,4.05,30.54,10.50,10.56,2.37,12.77
"Dec","Maharashtra","Latur","Udgir",3459,2720,422,802,1004,3159,111,2.92,8.48,42.65,18.77,19.07,4.60,27.07
"Dec","Maharashtra","Mumbai City","Mumbai",6127,3763,1074,2572,1433,5506,67,3.17,10.77,28.99,11.03,16.19,3.34,16.26
"Dec","Maharashtra","Mumbai Suburban","Mumbai",30196,18090,3879,11122,6417,26150,331,2.74,10.60,33.98,12.73,17.26,3.40,16.52
"Dec","Maharashtra","Nagpur","Bhiwapur",616,455,10,80,103,470,5,0.36,3.23,38.43,16.33,12.87,2.31,8.62
"Dec","Maharashtra","Nagpur","Hingna",2745,1266,97,408,358,1225,29,0.59,3.09,24.51,7.74,7.99,1.81,11.46
"Dec","Maharashtra","Nagpur","Kalameshwar",1222,703,52,187,152,740,15,1.01,4.65,37.41,13.66,16.60,2.83,21.74
"Dec","Maharashtra","Nagpur","Kamptee",2468,1414,193,498,338,1554,36,1.31,4.71,26.39,9.61,11.45,2.05,13.95
"Dec","Maharashtra","Nagpur","Katol",1390,955,47,127,140,649,15,0.79,2.92,39.27,15.99,11.94,2.12,18.75
"Dec","Maharashtra","Nagpur","Kuhi",1386,907,53,202,138,854,14,1.00,4.81,43.17,17.08,15.43,2.15,21.21
"Dec","Maharashtra","Nagpur","Mauda",1077,856,84,257,247,1052,26,1.59,6.45,36.54,16.18,14.78,2.81,17.69
"Dec","Maharashtra","Nagpur","Nagpur (Rural)",2171,1196,85,350,353,1534,42,0.63,3.20,24.77,8.80,10.67,2.00,16.09
"Dec","Maharashtra","Nagpur","Nagpur (Urban)",7118,4436,1196,2538,1710,6995,171,3.65,11.41,35.10,13.48,17.76,3.49,20.58
"Dec","Maharashtra","Nagpur","Narkhed",790,647,31,116,103,464,8,0.74,3.52,34.39,15.48,10.14,1.84,14.04
"Dec","Maharashtra","Nagpur","Parseoni",1370,1045,92,306,243,1053,26,1.30,5.61,33.98,14.70,14.83,2.78,21.67
"Dec","Maharashtra","Nagpur","Ramtek",1613,1009,121,295,205,879,16,1.59,5.46,34.36,13.22,13.00,2.46,13.68
"Dec","Maharashtra","Nagpur","Savner",1697,1150,50,218,215,1074,26,0.62,3.33,35.36,14.28,12.17,2.03,18.06
"Dec","Maharashtra","Nagpur","Umred",1287,763,74,233,168,767,18,1.32,5.46,36.47,13.57,16.43,2.95,24.00
"Dec","Maharashtra","Nanded","Ardhapur",1279,778,101,236,181,808,11,1.85,6.16,37.56,14.21,16.45,3.01,11.46
"Dec","Maharashtra","Nanded","Bhokar",882,725,102,247,190,729,25,1.90,6.51,29.67,13.39,11.83,2.45,25.25
"Dec","Maharashtra","Nanded","Biloli",973,823,105,205,161,658,26,1.44,4.24,24.53,11.24,8.57,1.68,16.35
"Dec","Maharashtra","Nanded","Deglur",1027,767,191,326,250,860,40,2.58,6.98,24.17,10.33,9.48,2.14,19.70
"Dec","Maharashtra","Nanded","Dharmabad",811,544,123,217,177,651,16,3.37,9.32,37.10,14.90,21.26,4.55,27.12
"Dec","Maharashtra","Nanded","Hadgaon",2273,1358,206,416,380,1432,40,1.70,5.13,29.94,11.20,11.70,2.45,16.74
"Dec","Maharashtra","Nanded","Himayatnagar",1143,851,100,211,163,614,14,1.40,4.35,27.88,11.90,9.66,2.03,11.76
